s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-42.875,-40.625,-12.96875,-11.171875,-30.25,-34.34375,-10.8515625,-13.890625,-2.25,4.09375,-1.796875,3.0390625
-31.75,-33.90625,-11.6171875,-11.625,-26.609375,-24.265625,-7.578125,-6.93359375,2.15625,-2.34375,0.0078125,-0.64453125
-32.90625,-35.1875,-7.99609375,-8.109375,-29.828125,-26.28125,-6.49609375,-5.8515625,2.28125,-3.546875,0.11328125,-0.64453125
-30.921875,-36.375,-10.4765625,-11.28125,-27.15625,-26.65625,-6.67578125,-6.72265625,5.453125,-0.5,0.8046875,0.046875
-40.0,-42.5625,-11.3515625,-11.671875,-26.828125,-30.75,-9.2578125,-9.0234375,2.5625,3.921875,0.3203125,-0.234375
-36.28125,-42.84375,-13.7421875,-12.9296875,-25.125,-30.0625,-7.59765625,-9.0234375,6.5625,4.9375,-0.8125,1.42578125
-34.96875,-35.46875,-7.52734375,-8.3671875,-25.09375,-24.34375,-5.1953125,-4.39453125,0.5,-0.75,0.83984375,-0.80078125
-37.3125,-40.5,-10.65625,-10.609375,-17.546875,-19.65625,-3.96484375,-5.19921875,3.1875,2.109375,-0.046875,1.234375
-38.875,-44.40625,-10.0390625,-8.9765625,-29.53125,-27.8125,-10.3671875,-11.1640625,5.53125,-1.71875,-1.0625,0.796875
-33.40625,-33.25,-8.96875,-8.9765625,-21.859375,-20.203125,-6.71484375,-5.3125,-0.15625,-1.65625,0.0078125,-1.40234375
-39.21875,-41.25,-8.765625,-9.5703125,-35.0,-34.1875,-10.9765625,-10.390625,2.03125,-0.8125,0.8046875,-0.5859375
-32.53125,-35.40625,-12.7421875,-13.328125,-25.84375,-25.96875,-8.1484375,-8.359375,2.875,0.125,0.5859375,0.2109375
-32.875,-34.09375,-9.1171875,-8.3046875,-23.125,-22.53125,-7.51171875,-6.546875,1.21875,-0.59375,-0.8125,-0.96484375
-34.15625,-36.09375,-9.7578125,-10.2578125,-20.53125,-21.203125,-6.2109375,-6.87890625,1.9375,0.671875,0.5,0.66796875
-26.5625,-32.09375,-6.97265625,-8.40625,-20.984375,-20.515625,-8.4609375,-7.1328125,5.53125,-0.46875,1.43359375,-1.328125
-33.84375,-31.71875,-12.1953125,-11.9140625,-20.953125,-24.40625,-7.75390625,-9.8203125,-2.125,3.453125,-0.28125,2.06640625
-37.03125,-34.40625,-14.53125,-13.828125,-28.0,-31.328125,-9.9296875,-10.71875,-2.625,3.328125,-0.703125,0.7890625
-40.1875,-44.71875,-9.8515625,-9.6328125,-27.78125,-28.140625,-8.2890625,-8.5234375,4.53125,0.359375,-0.21875,0.234375
-34.03125,-38.9375,-7.7890625,-7.64453125,-28.28125,-23.421875,-10.3046875,-5.76953125,4.90625,-4.859375,-0.14453125,-4.53515625
-37.71875,-43.34375,-13.2734375,-14.625,-30.734375,-32.21875,-9.6015625,-10.0703125,5.625,1.484375,1.3515625,0.46875
-31.734375,-38.90625,-10.0546875,-10.25,-33.125,-28.21875,-10.0625,-9.1484375,7.171875,-4.90625,0.1953125,-0.9140625
-46.8125,-46.0625,-13.1015625,-13.2734375,-34.09375,-33.09375,-9.9453125,-9.015625,-0.75,-1.0,0.171875,-0.9296875
-37.4375,-39.59375,-8.6796875,-8.796875,-24.9375,-26.46875,-5.79296875,-5.25,2.15625,1.53125,0.1171875,-0.54296875
-38.65625,-46.09375,-9.2734375,-7.83203125,-39.75,-35.78125,-10.2578125,-10.15625,7.4375,-3.96875,-1.44140625,-0.1015625
-37.21875,-41.5,-10.8359375,-11.0703125,-24.96875,-24.296875,-7.10546875,-7.0,4.28125,-0.671875,0.234375,-0.10546875
-39.84375,-40.34375,-12.96875,-13.671875,-29.234375,-30.140625,-10.109375,-9.71875,0.5,0.90625,0.703125,-0.390625
-35.6875,-40.9375,-10.0625,-9.9609375,-25.40625,-28.90625,-6.55078125,-6.38671875,5.25,3.5,-0.1015625,-0.1640625
-37.84375,-37.53125,-7.33984375,-6.98046875,-23.28125,-28.0625,-8.125,-9.0,-0.3125,4.78125,-0.359375,0.875
-47.3125,-44.34375,-13.4609375,-12.96875,-28.078125,-26.5625,-7.421875,-6.80859375,-2.96875,-1.515625,-0.4921875,-0.61328125
-41.90625,-41.375,-14.515625,-12.84375,-30.734375,-35.75,-13.8515625,-17.125,-0.53125,5.015625,-1.671875,3.2734375
-31.9375,-33.6875,-10.421875,-9.8359375,-24.3125,-19.71875,-4.7265625,-2.640625,1.75,-4.59375,-0.5859375,-2.0859375
-47.71875,-44.90625,-11.1171875,-9.140625,-34.0,-37.96875,-6.3203125,-8.5,-2.8125,3.96875,-1.9765625,2.1796875
-37.46875,-40.25,-12.359375,-12.5703125,-24.4375,-23.984375,-10.0390625,-7.66015625,2.78125,-0.453125,0.2109375,-2.37890625
-38.5625,-45.5625,-9.015625,-10.40625,-26.296875,-28.609375,-7.4765625,-7.9375,7.0,2.3125,1.390625,0.4609375
-45.25,-48.15625,-16.609375,-16.875,-38.09375,-36.71875,-11.234375,-10.3828125,2.90625,-1.375,0.265625,-0.8515625
-33.625,-43.71875,-12.1171875,-14.4453125,-34.375,-24.84375,-7.546875,-6.19921875,10.09375,-9.53125,2.328125,-1.34765625
-38.21875,-42.71875,-11.203125,-11.203125,-29.171875,-25.40625,-6.66015625,-6.48046875,4.5,-3.765625,0.0,-0.1796875
-37.84375,-38.8125,-12.4140625,-12.6328125,-28.53125,-31.1875,-10.5234375,-10.2734375,0.96875,2.65625,0.21875,-0.25
-39.125,-42.28125,-11.0625,-10.03125,-33.3125,-32.6875,-9.859375,-8.5859375,3.15625,-0.625,-1.03125,-1.2734375
-36.28125,-44.90625,-14.0859375,-14.890625,-35.5,-29.1875,-13.265625,-12.359375,8.625,-6.3125,0.8046875,-0.90625
-48.71875,-49.5625,-8.203125,-9.3515625,-35.125,-37.125,-12.1640625,-11.8046875,0.84375,2.0,1.1484375,-0.359375
-43.65625,-43.1875,-10.8046875,-10.890625,-31.09375,-30.875,-7.09765625,-7.35546875,-0.46875,-0.21875,0.0859375,0.2578125
-34.6875,-38.0,-11.1796875,-11.8984375,-26.015625,-30.15625,-11.171875,-12.8671875,3.3125,4.140625,0.71875,1.6953125
-35.75,-38.1875,-11.65625,-10.4375,-17.953125,-17.015625,-4.75,-4.40625,2.4375,-0.9375,-1.21875,-0.34375
-38.78125,-40.34375,-9.265625,-9.2578125,-30.578125,-30.078125,-9.2578125,-9.234375,1.5625,-0.5,-0.0078125,-0.0234375
-30.625,-35.78125,-11.4609375,-11.3515625,-31.6875,-30.8125,-10.3984375,-10.0703125,5.15625,-0.875,-0.109375,-0.328125
-36.21875,-40.71875,-7.7109375,-9.828125,-36.625,-32.59375,-11.7578125,-9.8984375,4.5,-4.03125,2.1171875,-1.859375
-48.3125,-48.46875,-14.078125,-13.7578125,-33.53125,-35.875,-9.40625,-10.1015625,0.15625,2.34375,-0.3203125,0.6953125
-33.46875,-33.28125,-12.46875,-11.7265625,-24.546875,-25.546875,-8.765625,-8.4453125,-0.1875,1.0,-0.7421875,-0.3203125
-40.0,-39.71875,-9.5859375,-9.6015625,-28.65625,-31.375,-7.00390625,-7.6328125,-0.28125,2.71875,0.015625,0.62890625
-35.875,-37.5625,-12.6484375,-12.375,-24.921875,-31.703125,-6.48046875,-8.734375,1.6875,6.78125,-0.2734375,2.25390625
