s_cong_Active,s_inc_Active,w_cong_Active,w_inc_Active,s_cong_Passive,s_inc_Passive,w_cong_Passive,w_inc_Passive,s_PE_Active,s_PE_Passive,w_PE_Active,w_PE_Passive
-55.3125,-59.3125,-8.3125,-8.5,-63.21875,-61.9375,-3.578125,-3.384765625,4.0,-1.28125,0.1875,-0.193359375
-53.4375,-56.09375,-13.4609375,-13.4140625,-54.8125,-57.78125,-4.64453125,-4.81640625,2.65625,2.96875,-0.046875,0.171875
-53.6875,-56.4375,-10.421875,-10.828125,-60.75,-60.40625,-4.203125,-4.4296875,2.75,-0.34375,0.40625,0.2265625
-62.65625,-64.6875,-5.28125,-5.75390625,-63.59375,-66.5625,-6.87890625,-7.60546875,2.03125,2.96875,0.47265625,0.7265625
-59.34375,-58.15625,-7.234375,-7.484375,-58.5,-62.875,-4.171875,-4.83203125,-1.1875,4.375,0.25,0.66015625
-54.40625,-56.625,-12.3359375,-12.9375,-64.3125,-64.875,-2.9140625,-2.7734375,2.21875,0.5625,0.6015625,-0.140625
-58.90625,-60.03125,-8.2421875,-9.078125,-58.5,-59.84375,-3.44140625,-3.177734375,1.125,1.34375,0.8359375,-0.263671875
-67.3125,-67.0625,-6.7109375,-6.18359375,-71.75,-73.0,-5.5546875,-5.765625,-0.25,1.25,-0.52734375,0.2109375
-61.25,-63.34375,-7.640625,-7.77734375,-65.9375,-64.25,-4.5234375,-3.837890625,2.09375,-1.6875,0.13671875,-0.685546875
-66.0,-68.0625,-5.3125,-5.2890625,-62.09375,-66.5625,-5.13671875,-5.796875,2.0625,4.46875,-0.0234375,0.66015625
-57.625,-61.0625,-10.9375,-11.125,-59.96875,-58.78125,-4.0078125,-3.87109375,3.4375,-1.1875,0.1875,-0.13671875
-65.875,-71.625,-9.6171875,-11.5859375,-70.875,-72.5,-3.759765625,-4.01171875,5.75,1.625,1.96875,0.251953125
-67.25,-70.0625,-10.328125,-11.515625,-66.0625,-64.375,-4.69140625,-4.17578125,2.8125,-1.6875,1.1875,-0.515625
-48.59375,-51.65625,-6.265625,-6.93359375,-54.375,-56.71875,-3.71875,-3.5078125,3.0625,2.34375,0.66796875,-0.2109375
-73.0,-75.375,-8.0234375,-8.3125,-76.625,-75.3125,-8.96875,-7.78515625,2.375,-1.3125,0.2890625,-1.18359375
-68.625,-69.4375,-7.68359375,-7.75390625,-69.5625,-74.75,-5.640625,-6.2890625,0.8125,5.1875,0.0703125,0.6484375
-60.96875,-61.65625,-7.53125,-8.375,-65.0625,-69.0625,-6.69921875,-6.6796875,0.6875,4.0,0.84375,-0.01953125
-73.625,-78.1875,-5.9140625,-6.85546875,-72.625,-76.6875,-5.24609375,-5.44140625,4.5625,4.0625,0.94140625,0.1953125
-57.4375,-59.5625,-5.10546875,-5.44921875,-68.125,-67.3125,-5.3515625,-6.34375,2.125,-0.8125,0.34375,0.9921875
-68.625,-70.25,-9.0390625,-10.578125,-67.75,-69.0625,-4.68359375,-5.1953125,1.625,1.3125,1.5390625,0.51171875
-69.75,-73.0625,-5.34765625,-5.9140625,-68.1875,-69.6875,-6.87109375,-7.05078125,3.3125,1.5,0.56640625,0.1796875
-57.875,-56.71875,-14.96875,-15.3515625,-61.03125,-63.5,-5.19140625,-5.12890625,-1.15625,2.46875,0.3828125,-0.0625
-53.3125,-54.78125,-7.9375,-8.40625,-59.625,-60.65625,-4.83203125,-4.82421875,1.46875,1.03125,0.46875,-0.0078125
-52.0,-54.84375,-6.66015625,-7.4296875,-56.90625,-60.03125,-4.90234375,-4.91015625,2.84375,3.125,0.76953125,0.0078125
-67.5625,-64.875,-7.98046875,-8.015625,-67.5,-71.6875,-6.42578125,-5.98046875,-2.6875,4.1875,0.03515625,-0.4453125
-71.1875,-73.25,-8.9921875,-8.515625,-70.0,-71.125,-4.58203125,-5.16796875,2.0625,1.125,-0.4765625,0.5859375
-62.0,-64.4375,-7.0390625,-8.3515625,-68.0625,-69.625,-7.6875,-7.46484375,2.4375,1.5625,1.3125,-0.22265625
-67.875,-68.6875,-6.984375,-7.4140625,-66.9375,-71.5,-5.22265625,-6.27734375,0.8125,4.5625,0.4296875,1.0546875
-60.34375,-64.0625,-13.0078125,-13.4375,-63.0,-64.125,-6.03515625,-5.6328125,3.71875,1.125,0.4296875,-0.40234375
-70.5625,-72.4375,-13.59375,-13.046875,-73.625,-75.5625,-5.40234375,-5.55078125,1.875,1.9375,-0.546875,0.1484375
-68.625,-65.625,-7.10546875,-7.4609375,-65.8125,-73.9375,-5.57421875,-6.26953125,-3.0,8.125,0.35546875,0.6953125
-69.4375,-72.5,-9.640625,-10.53125,-73.8125,-72.875,-7.5703125,-7.796875,3.0625,-0.9375,0.890625,0.2265625
-65.75,-66.4375,-6.765625,-7.03515625,-66.8125,-70.25,-4.58984375,-5.25,0.6875,3.4375,0.26953125,0.66015625
-70.75,-68.6875,-8.125,-8.2265625,-69.4375,-71.625,-5.58984375,-5.36328125,-2.0625,2.1875,0.1015625,-0.2265625
-69.5,-72.375,-6.77734375,-6.453125,-74.9375,-75.5625,-5.15625,-5.44140625,2.875,0.625,-0.32421875,0.28515625
-66.5,-65.375,-12.0078125,-12.25,-60.71875,-66.9375,-3.34375,-5.3046875,-1.125,6.21875,0.2421875,1.9609375
-64.625,-64.25,-6.57421875,-6.8125,-63.9375,-68.1875,-5.34375,-5.58203125,-0.375,4.25,0.23828125,0.23828125
-57.84375,-58.03125,-6.54296875,-6.8125,-58.78125,-65.4375,-3.302734375,-2.78515625,0.1875,6.65625,0.26953125,-0.517578125
-60.1875,-61.9375,-5.48046875,-6.109375,-54.84375,-57.3125,-5.21484375,-5.3203125,1.75,2.46875,0.62890625,0.10546875
-55.875,-56.46875,-5.484375,-5.703125,-56.75,-60.71875,-3.626953125,-4.63671875,0.59375,3.96875,0.21875,1.009765625
-60.3125,-61.15625,-6.71875,-7.78515625,-58.65625,-62.8125,-4.984375,-4.97265625,0.84375,4.15625,1.06640625,-0.01171875
-56.3125,-56.96875,-8.453125,-8.578125,-61.15625,-65.125,-5.88671875,-5.0625,0.65625,3.96875,0.125,-0.82421875
-58.03125,-57.96875,-11.3984375,-11.53125,-59.875,-64.3125,-5.14453125,-5.5546875,-0.0625,4.4375,0.1328125,0.41015625
-65.75,-62.3125,-5.1171875,-5.48828125,-65.5,-70.125,-4.26171875,-4.09765625,-3.4375,4.625,0.37109375,-0.1640625
-62.90625,-62.78125,-4.69140625,-4.890625,-63.1875,-65.4375,-4.89453125,-4.6953125,-0.125,2.25,0.19921875,-0.19921875
-61.3125,-60.125,-10.15625,-9.21875,-59.46875,-62.0625,-5.5546875,-5.81640625,-1.1875,2.59375,-0.9375,0.26171875
-55.25,-56.84375,-7.63671875,-8.0078125,-59.0625,-60.9375,-4.86328125,-4.75390625,1.59375,1.875,0.37109375,-0.109375
-51.78125,-53.46875,-9.7890625,-10.953125,-55.28125,-57.65625,-5.17578125,-4.51171875,1.6875,2.375,1.1640625,-0.6640625
-68.6875,-73.0625,-9.09375,-9.859375,-72.1875,-73.1875,-5.484375,-6.6171875,4.375,1.0,0.765625,1.1328125
-71.25,-69.5,-7.81640625,-8.03125,-71.375,-73.875,-5.34765625,-4.94921875,-1.75,2.5,0.21484375,-0.3984375
-58.5625,-58.71875,-8.0546875,-7.62109375,-59.625,-60.78125,-5.640625,-5.9140625,0.15625,1.15625,-0.43359375,0.2734375
-69.6875,-69.6875,-6.16796875,-6.82421875,-68.1875,-73.3125,-5.55859375,-6.41015625,0.0,5.125,0.65625,0.8515625
-63.9375,-65.0,-8.3515625,-8.734375,-68.3125,-70.125,-3.373046875,-3.78125,1.0625,1.8125,0.3828125,0.408203125
-61.90625,-64.9375,-6.078125,-5.953125,-67.25,-67.25,-4.703125,-5.64453125,3.03125,0.0,-0.125,0.94140625
-58.09375,-60.09375,-9.3125,-10.109375,-58.78125,-61.71875,-7.84765625,-7.7890625,2.0,2.9375,0.796875,-0.05859375
-54.90625,-56.21875,-11.421875,-11.2734375,-60.21875,-61.28125,-4.453125,-5.05859375,1.3125,1.0625,-0.1484375,0.60546875
-51.875,-53.53125,-6.50390625,-6.44140625,-59.8125,-61.3125,-4.3671875,-4.3359375,1.65625,1.5,-0.0625,-0.03125
-57.125,-55.25,-14.0234375,-13.984375,-58.53125,-62.3125,-3.53125,-3.39453125,-1.875,3.78125,-0.0390625,-0.13671875
-64.25,-65.9375,-7.65234375,-8.078125,-67.5625,-70.0,-4.578125,-4.703125,1.6875,2.4375,0.42578125,0.125
-61.15625,-63.15625,-6.765625,-6.890625,-60.90625,-66.25,-5.69921875,-5.8828125,2.0,5.34375,0.125,0.18359375
-60.4375,-62.0,-6.69140625,-7.15234375,-55.46875,-61.75,-7.42578125,-8.6875,1.5625,6.28125,0.4609375,1.26171875
-70.375,-68.375,-7.9609375,-8.359375,-68.625,-71.0,-4.20703125,-4.87109375,-2.0,2.375,0.3984375,0.6640625
-60.90625,-61.9375,-9.640625,-10.0625,-59.15625,-60.40625,-4.7578125,-4.9140625,1.03125,1.25,0.421875,0.15625
