s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-66.9375,-65.6875,-9.6796875,-8.90625,-45.65625,-48.75,-5.30859375,-6.0,-1.25,3.09375,-0.7734375,0.69140625
-60.625,-59.125,-6.8359375,-6.3359375,-41.6875,-46.0,-5.078125,-5.45703125,-1.5,4.3125,-0.5,0.37890625
-63.75,-67.75,-6.66796875,-7.69140625,-44.90625,-42.25,-8.640625,-7.4609375,4.0,-2.65625,1.0234375,-1.1796875
-57.40625,-60.90625,-6.88671875,-7.19140625,-45.03125,-44.53125,-7.484375,-7.34375,3.5,-0.5,0.3046875,-0.140625
-49.8125,-53.4375,-6.71484375,-7.05859375,-34.34375,-33.3125,-9.2734375,-9.0078125,3.625,-1.03125,0.34375,-0.265625
-61.71875,-67.25,-5.7578125,-6.45703125,-40.40625,-40.21875,-5.94140625,-5.48046875,5.53125,-0.1875,0.69921875,-0.4609375
-58.53125,-62.78125,-8.4609375,-8.6328125,-42.3125,-38.53125,-7.9140625,-6.66796875,4.25,-3.78125,0.171875,-1.24609375
-56.78125,-59.40625,-6.765625,-6.59765625,-42.0625,-42.125,-7.8125,-7.6171875,2.625,0.0625,-0.16796875,-0.1953125
-54.84375,-55.875,-5.33203125,-4.6796875,-39.34375,-39.65625,-5.63671875,-5.9453125,1.03125,0.3125,-0.65234375,0.30859375
-62.84375,-63.46875,-6.90625,-8.3515625,-40.8125,-41.40625,-7.32421875,-6.5,0.625,0.59375,1.4453125,-0.82421875
-56.40625,-59.59375,-6.04296875,-7.0703125,-39.78125,-37.9375,-7.58203125,-6.8671875,3.1875,-1.84375,1.02734375,-0.71484375
-75.25,-79.75,-6.90234375,-6.96484375,-55.59375,-53.09375,-7.76953125,-8.3125,4.5,-2.5,0.0625,0.54296875
-59.71875,-60.84375,-10.046875,-10.6640625,-36.9375,-37.6875,-11.5078125,-11.015625,1.125,0.75,0.6171875,-0.4921875
-66.0625,-60.5,-11.96875,-9.453125,-37.875,-43.46875,-5.03515625,-5.421875,-5.5625,5.59375,-2.515625,0.38671875
-55.125,-56.6875,-12.046875,-12.34375,-41.71875,-42.09375,-9.2109375,-9.7890625,1.5625,0.375,0.296875,0.578125
-60.21875,-65.875,-8.5,-9.28125,-37.53125,-36.3125,-8.3203125,-7.8828125,5.65625,-1.21875,0.78125,-0.4375
-51.25,-56.78125,-8.8046875,-9.25,-42.875,-40.0,-9.890625,-9.3125,5.53125,-2.875,0.4453125,-0.578125
-59.5,-60.71875,-6.16796875,-6.14453125,-39.5625,-39.25,-7.92578125,-7.9609375,1.21875,-0.3125,-0.0234375,0.03515625
-59.5,-58.3125,-7.29296875,-7.67578125,-36.71875,-36.53125,-7.07421875,-6.3828125,-1.1875,-0.1875,0.3828125,-0.69140625
-62.96875,-65.375,-6.83203125,-6.63671875,-42.21875,-42.28125,-6.26953125,-6.1484375,2.40625,0.0625,-0.1953125,-0.12109375
-58.34375,-62.09375,-12.375,-12.546875,-41.875,-42.1875,-11.984375,-12.1796875,3.75,0.3125,0.171875,0.1953125
-59.125,-61.71875,-12.109375,-12.4140625,-42.6875,-45.0625,-9.9921875,-10.65625,2.59375,2.375,0.3046875,0.6640625
-62.40625,-68.625,-8.5859375,-8.84375,-45.40625,-41.4375,-5.734375,-5.3046875,6.21875,-3.96875,0.2578125,-0.4296875
-58.0625,-61.75,-6.3203125,-6.89453125,-44.09375,-42.25,-5.2109375,-5.25,3.6875,-1.84375,0.57421875,0.0390625
-47.90625,-48.625,-10.203125,-9.6796875,-33.96875,-33.75,-9.3046875,-9.171875,0.71875,-0.21875,-0.5234375,-0.1328125
-73.125,-77.1875,-6.859375,-7.03125,-52.625,-50.21875,-11.390625,-10.3828125,4.0625,-2.40625,0.171875,-1.0078125
-62.5,-62.6875,-8.65625,-8.2890625,-40.78125,-41.34375,-7.25390625,-7.234375,0.1875,0.5625,-0.3671875,-0.01953125
-55.6875,-58.84375,-14.15625,-14.125,-43.25,-43.15625,-12.5546875,-13.125,3.15625,-0.09375,-0.03125,0.5703125
