s_cong_DO,s_inc_DO,w_cong_DO,w_inc_DO,s_cong_PO,s_inc_PO,w_cong_PO,w_inc_PO,s_PE_DO,s_PE_PO
-60.6875,-62.71875,-4.96875,-5.2421875,-62.625,-63.3125,-4.9375,-5.11328125,2.03125,0.6875
-71.375,-74.1875,-5.69140625,-5.94921875,-74.1875,-73.4375,-6.01171875,-6.2578125,2.8125,-0.75
-67.0,-66.9375,-6.12109375,-6.50390625,-67.125,-69.0,-7.1171875,-7.33203125,-0.0625,1.875
-71.5625,-72.6875,-7.9609375,-7.80859375,-77.25,-78.75,-7.07421875,-6.83984375,1.125,1.5
-70.5,-73.9375,-6.109375,-6.359375,-77.5,-76.875,-5.140625,-5.29296875,3.4375,-0.625
-64.125,-66.1875,-5.625,-5.8984375,-67.8125,-68.3125,-5.14453125,-5.3828125,2.0625,0.5
-61.59375,-63.46875,-7.22265625,-7.3359375,-65.375,-66.0625,-3.154296875,-3.169921875,1.875,0.6875
-57.15625,-59.3125,-5.20703125,-5.3828125,-60.78125,-61.65625,-3.8046875,-4.1328125,2.15625,0.875
-65.6875,-69.0625,-6.84765625,-7.171875,-68.125,-68.8125,-6.44921875,-7.08203125,3.375,0.6875
-62.34375,-64.8125,-5.7265625,-5.9375,-68.3125,-67.8125,-4.86328125,-5.015625,2.46875,-0.5
-59.75,-63.625,-6.82421875,-8.40625,-63.5,-64.0625,-3.638671875,-3.927734375,3.875,0.5625
-70.375,-73.5,-5.93359375,-6.1171875,-75.6875,-74.5,-5.23828125,-5.3984375,3.125,-1.1875
-77.1875,-75.875,-8.015625,-8.390625,-78.375,-83.0625,-4.5078125,-4.63671875,-1.3125,4.6875
-52.375,-55.46875,-3.888671875,-4.99609375,-56.0625,-57.53125,-6.14453125,-6.15625,3.09375,1.46875
-64.1875,-66.625,-5.35546875,-5.3671875,-68.375,-68.875,-4.4765625,-4.6171875,2.4375,0.5
-70.8125,-71.375,-10.8125,-11.09375,-74.75,-75.5625,-6.65625,-6.84765625,0.5625,0.8125
-69.0,-69.5,-10.953125,-10.75,-71.375,-73.375,-4.55078125,-4.46484375,0.5,2.0
-60.65625,-61.96875,-4.45703125,-4.3359375,-61.4375,-63.6875,-4.75,-5.0,1.3125,2.25
-69.875,-69.8125,-5.48046875,-5.59765625,-70.3125,-72.4375,-4.47265625,-5.00390625,-0.0625,2.125
-61.125,-64.8125,-6.5703125,-6.66796875,-66.875,-66.0,-7.05078125,-6.9375,3.6875,-0.875
-57.90625,-58.8125,-6.70703125,-7.03125,-60.40625,-63.03125,-6.57421875,-6.75,0.90625,2.625
-70.5,-72.0,-9.3515625,-9.6640625,-73.75,-75.0,-3.8125,-4.3359375,1.5,1.25
-63.375,-64.1875,-5.78515625,-5.97265625,-66.1875,-66.75,-6.17578125,-6.35546875,0.8125,0.5625
-64.3125,-65.0625,-6.21875,-6.3359375,-67.5,-69.8125,-5.640625,-5.84375,0.75,2.3125
-60.65625,-60.53125,-4.83984375,-4.74609375,-62.5,-63.84375,-4.3515625,-4.41796875,-0.125,1.34375
-67.1875,-67.9375,-5.04296875,-5.18359375,-71.3125,-72.9375,-4.94921875,-5.1015625,0.75,1.625
-67.0,-69.375,-4.95703125,-4.8828125,-70.625,-70.75,-5.0078125,-5.078125,2.375,0.125
-64.5,-65.625,-9.0859375,-9.5234375,-70.75,-71.125,-4.1015625,-4.28515625,1.125,0.375
-77.0,-78.8125,-8.9453125,-8.6328125,-79.9375,-80.25,-4.82421875,-5.109375,1.8125,0.3125
